External Library Name, Link to License, License Name, Binaries using the license, URL
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-6.5/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
Qt Widgets, https://doc.qt.io/qt-6.5/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
Qt SvgWidgets, https://doc.qt.io/qt-6.5/qtSvgWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
abseil, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev/LICENSE, Apache-2, abseil_dll.dll libprotobuf.dll, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev
protobuf, BSD-3-Clause, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe libprotobuf.dll ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe android-emu-tracing.dll android-emu-protos.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, 
mynewt-nimble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge.exe, 
